trip_id_unique,trip_duration_in_minutes
1150892,96.0
1151402,65.0
1151922,55.0
1151952,74.0
1152122,71.0
1152132,86.0
1152262,69.0
1152292,64.0
1152812,49.0
1152892,47.0
1153132,72.0
1153272,64.0
1153292,77.0
1153332,57.0
1153342,75.0
1153542,52.0
1153642,67.0
1153702,93.0
1153722,41.0
1153912,97.0
1153932,38.0
1154002,92.0
1154042,59.0
1154062,81.0
1154172,80.0
1154242,104.0
1154442,98.0
1154732,81.0
1154762,65.0
1155012,80.0
1155032,102.0
1155142,77.0
1155152,84.0
1155232,78.0
1155352,56.0
1155512,65.0
1155642,69.0
1155652,46.0
1155842,76.0
1156990,73.0
1181170,62.0
1181370,77.0
1181380,64.0
1181510,67.0
1181680,91.0
1181810,74.0
1181830,103.0
1181980,107.0
1182010,108.0
1182720,52.0
1182840,72.0
1182990,55.0
1183230,61.0
1183380,99.0
1183470,109.0
1183530,73.0
1185510,67.0
1185520,65.0
1185600,76.0
1185630,85.0
1185680,76.0
1187050,83.0
1187110,32.0
1187240,80.0
1187250,74.0
1187280,88.0
1187380,52.0
1188100,53.0
1188230,69.0
1190630,47.0
1190640,61.0
1190670,69.0
1190720,61.0
1190740,77.0
1191360,75.0
1192840,56.0
1192900,77.0
1192930,84.0
1192980,55.0
1193110,56.0
1193120,77.0
1193150,82.0
1193310,53.0
1193400,47.0
1193540,82.0
1193730,65.0
1194020,39.0
1194210,84.0
1194370,72.0
1194580,76.0
1195200,75.0
1195260,78.0
1195270,74.0
1195350,75.0
1195460,50.0
1195480,71.0
1195640,70.0
1195660,77.0
1196370,50.0
1196490,70.0
1196500,68.0
1196680,56.0
1196780,55.0
1196800,72.0
1196850,75.0
1196880,73.0
1197080,62.0
1197100,83.0
1197140,58.0
1198410,79.0
1199490,70.0
1199540,65.0
1199580,101.0
1199650,62.0
1199680,77.0
1200330,55.0
1200490,73.0
1200620,50.0
1201820,62.0
1201830,91.0
1201900,62.0
1202500,69.0
1202620,56.0
1202950,76.0
1203030,87.0
1203220,117.0
1204170,84.0
1205610,66.0
1205670,91.0
1205680,58.0
1206010,91.0
1206800,55.0
1206820,75.0
1206850,95.0
1207020,81.0
1207180,77.0
1207460,96.0
1207510,98.0
1207550,71.0
1207730,81.0
1208120,59.0
1208980,42.0
1209070,77.0
1209100,65.0
1209370,69.0
1209390,81.0
1209490,74.0
1209550,62.0
1209560,71.0
1209600,73.0
1209680,30.0
1209690,68.0
1209700,61.0
1209710,64.0
1210850,65.0
1211280,73.0
1211310,62.0
1211330,94.0
1211340,87.0
1211490,69.0
1211560,65.0
1211710,65.0
1211800,85.0
1211810,60.0
1211950,74.0
1212020,80.0
1212050,88.0
1212080,72.0
1212240,98.0
1212300,88.0
1212310,64.0
1213260,87.0
1213410,72.0
1213440,98.0
1213450,61.0
1213850,65.0
1214540,60.0
1214870,48.0
1215040,66.0
1215290,43.0
1215490,88.0
1215500,72.0
1215620,66.0
1215720,78.0
1216120,61.0
1216130,44.0
1216300,86.0
1216360,75.0
1216510,87.0
1216600,58.0
1216660,74.0
1216740,59.0
1220560,49.0
1220660,34.0
1220670,33.0
1220950,58.0
1221820,56.0
1222070,61.0
1222210,47.0
1222280,74.0
1222320,86.0
1222450,91.0
1222490,112.0
1222660,83.0
1223470,34.0
1223840,51.0
1223860,34.0
1224850,79.0
1224990,33.0
1225250,92.0
1226070,87.0
1227270,65.0
1227410,89.0
2100182,55.0
2100282,81.0
2100711,75.0
2100771,85.0
2101331,57.0
2101571,67.0
2102221,55.0
2102271,50.0
2102301,58.0
2102331,74.0
2103151,51.0
2103181,79.0
2103251,48.0
2103521,79.0
2103591,50.0
2104050,67.0
2104591,60.0
2104671,105.0
2104701,39.0
2104711,59.0
2104751,57.0
2104891,49.0
2104901,51.0
2105041,52.0
2105092,41.0
2105101,67.0
2105141,62.0
2106201,72.0
2106661,57.0
2106871,75.0
2106901,61.0
2106931,51.0
2106971,54.0
2107021,50.0
2107932,35.0
2108061,80.0
2108492,60.0
2108641,76.0
2108651,55.0
2108871,52.0
2109120,87.0
2109251,75.0
2109530,65.0
2109831,61.0
2110290,56.0
2111312,91.0
2111762,44.0
2112041,63.0
2112192,65.0
2112221,64.0
2113552,50.0
2113582,42.0
2113861,61.0
2114171,29.0
2114411,58.0
2114461,69.0
2114512,51.0
2114522,49.0
2114582,45.0
2115791,75.0
2115861,69.0
2115932,49.0
2115952,46.0
2116031,65.0
2116141,57.0
2116700,33.0
2117362,51.0
2118001,38.0
2118131,57.0
2118171,62.0
2118201,52.0
2118391,62.0
2118401,82.0
2118441,47.0
2118782,42.0
2119020,49.0
2119320,44.0
2120852,49.0
2121041,67.0
2121122,65.0
2121221,66.0
2121231,62.0
2121251,47.0
2121582,56.0
2121882,82.0
2122031,79.0
2122130,47.0
2122231,49.0
2122241,55.0
2122261,57.0
2122300,44.0
2122351,62.0
2123040,67.0
2123552,54.0
2123592,61.0
2124350,41.0
2126492,48.0
2127610,58.0
2128040,85.0
2128272,46.0
2128342,38.0
2130772,49.0
2131510,29.0
2137240,56.0
2137282,49.0
2138622,50.0
2140712,65.0
2140752,53.0
2140952,52.0
2141732,61.0
2141752,49.0
2143832,63.0
2143852,60.0
2144052,71.0
2148420,47.0
2152480,34.0
2179060,35.0
2179320,41.0
2179440,58.0
2179490,58.0
2179740,45.0
2179810,73.0
2179880,73.0
2180040,33.0
2180090,42.0
2180370,48.0
2180690,42.0
2180720,43.0
2180730,38.0
2181240,93.0
2181620,35.0
2181960,36.0
2182150,68.0
2182230,76.0
2182240,69.0
2182260,69.0
2182440,68.0
2184090,34.0
2184230,70.0
2184300,81.0
2184370,69.0
2184400,44.0
2184530,36.0
2184550,69.0
2184580,54.0
2184880,41.0
2185050,61.0
2185430,50.0
2185990,55.0
2186020,42.0
2186170,53.0
2186380,70.0
2186540,89.0
2186560,94.0
2186590,37.0
2186730,42.0
2186940,50.0
2187000,73.0
2188460,66.0
2188480,58.0
2188610,65.0
2188810,52.0
2188940,85.0
2188980,35.0
2189700,64.0
2189720,34.0
2190970,70.0
2191250,87.0
2191850,41.0
2191950,81.0
2191970,67.0
2192480,77.0
2192490,46.0
2192640,92.0
2192670,51.0
2193580,62.0
2193690,64.0
2194500,36.0
2195160,23.0
2195860,54.0
2195910,44.0
2195940,88.0
2195980,37.0
2196090,54.0
2196300,29.0
2197410,60.0
2197440,51.0
2197470,85.0
2197510,49.0
2197550,48.0
2197560,39.0
2197580,56.0
2197670,33.0
2197690,79.0
2197770,47.0
2197780,39.0
2197790,53.0
2197840,38.0
2197850,71.0
2197910,54.0
2197950,47.0
2198050,44.0
2198690,48.0
2199880,45.0
2200170,32.0
2201110,45.0
2201240,45.0
2201380,44.0
2201440,55.0
2201450,60.0
2201490,54.0
2201510,42.0
2201600,60.0
2202070,46.0
2202080,93.0
2202320,77.0
2202740,45.0
2203460,76.0
2203530,89.0
2203630,56.0
2203660,54.0
2203680,77.0
2203800,49.0
2203820,38.0
2204670,69.0
2204760,66.0
2204770,71.0
2204800,84.0
2204930,65.0
2205280,68.0
2205310,56.0
2205330,58.0
2205340,67.0
2205480,51.0
2205590,54.0
2205780,45.0
2205870,44.0
2206240,40.0
2206460,45.0
2206510,57.0
2206660,57.0
2207430,59.0
2208290,88.0
2208460,55.0
2208670,47.0
2208690,65.0
2208730,81.0
2208810,72.0
2209860,63.0
2209930,62.0
2209980,50.0
2210030,43.0
2210320,41.0
2210380,52.0
2210670,35.0
2210700,62.0
2211150,80.0
2212350,42.0
2212410,62.0
2212430,48.0
2212640,48.0
2212650,37.0
2212700,47.0
2212820,50.0
2213680,41.0
2213690,60.0
2213880,37.0
2213980,58.0
2214000,69.0
2214150,75.0
2214160,67.0
2214650,25.0
2216830,62.0
2216960,28.0
2217070,40.0
2220750,49.0
2220800,65.0
2220830,46.0
2220850,44.0
2220860,50.0
2220920,45.0
2221100,48.0
2221120,68.0
2221140,50.0
2221370,75.0
2221430,56.0
2221800,30.0
2224700,61.0
2225810,71.0
2225820,50.0
2225830,51.0
2225950,79.0
2226020,44.0
2226050,45.0
3100432,68.0
3100792,75.0
3100802,87.0
3100822,79.0
3101142,63.0
3101211,83.0
3101232,72.0
3101241,69.0
3101520,65.0
3101622,94.0
3102042,73.0
3102182,87.0
3102232,63.0
3102941,62.0
3102951,77.0
3102962,57.0
3103182,94.0
3103410,53.0
3103420,49.0
3103450,82.0
3103700,65.0
3103751,57.0
3104012,85.0
3104321,84.0
3104350,59.0
3104460,28.0
3104600,62.0
3104691,88.0
3104741,69.0
3104780,60.0
3104880,75.0
3104982,85.0
3105412,58.0
3105732,60.0
3105761,55.0
3105822,64.0
3105922,76.0
3106151,62.0
3106242,90.0
3106341,91.0
3106342,73.0
3106362,82.0
3106412,72.0
3106442,67.0
3106481,65.0
3106852,90.0
3107072,67.0
3107102,66.0
3107122,60.0
3107722,85.0
3107802,81.0
3107851,26.0
3107982,91.0
3108131,62.0
3108171,61.0
3108472,57.0
3108561,86.0
3108601,85.0
3108611,86.0
3109392,85.0
3109450,76.0
3109462,72.0
3109472,68.0
3109502,82.0
3109682,84.0
3109712,74.0
3109940,80.0
3110762,66.0
3111431,56.0
3111571,67.0
3111602,48.0
3111622,80.0
3112410,63.0
3112542,80.0
3112552,79.0
3112582,88.0
3112702,53.0
3112732,55.0
3112862,85.0
3112872,80.0
3112922,58.0
3112941,49.0
3112992,76.0
3113141,62.0
3113461,76.0
3113471,61.0
3113551,76.0
3113571,94.0
3113630,81.0
3113640,90.0
3113650,114.0
3113711,54.0
3113822,79.0
3113842,91.0
3114110,72.0
3114172,76.0
3114200,79.0
3114342,89.0
3114600,100.0
3114870,61.0
3114890,43.0
3114951,63.0
3115021,70.0
3115031,73.0
3115090,88.0
3115200,99.0
3115250,70.0
3115260,99.0
3115351,64.0
3115371,61.0
3115430,52.0
3115441,74.0
3116221,82.0
3116481,72.0
3116682,68.0
3116852,51.0
3117081,82.0
3117091,86.0
3117181,93.0
3117241,57.0
3117301,68.0
3117311,80.0
3117332,77.0
3117802,98.0
3117842,86.0
3117972,81.0
3118492,95.0
3118562,96.0
3118832,96.0
3118892,72.0
3118942,78.0
3119012,87.0
3119021,74.0
3119032,60.0
3119201,82.0
3119212,66.0
3119251,60.0
3119351,92.0
3119632,62.0
3119652,109.0
3120171,79.0
3120181,67.0
3120211,67.0
3120602,69.0
3120612,81.0
3121322,81.0
3121561,87.0
3121682,53.0
3121911,79.0
3121950,60.0
3122001,79.0
3122052,74.0
3122222,75.0
3122451,53.0
3122501,73.0
3122511,68.0
3122521,50.0
3122561,83.0
3122591,28.0
3122621,77.0
3122722,64.0
3122742,71.0
3122762,72.0
3122782,68.0
3122852,80.0
3122931,71.0
3122940,83.0
3122960,71.0
3123032,78.0
3123102,72.0
3123122,74.0
3123151,85.0
3123221,95.0
3123412,80.0
3123422,61.0
3123640,63.0
3123700,71.0
3124212,83.0
3124242,59.0
3124572,81.0
3124622,94.0
3124832,99.0
3125162,83.0
3125522,90.0
3126170,104.0
3126212,80.0
3126372,67.0
3126622,64.0
3126632,68.0
3126642,82.0
3126662,82.0
3126672,102.0
3126802,73.0
3126822,63.0
3127282,64.0
3127432,77.0
3127960,93.0
3128450,79.0
3128762,79.0
3128842,49.0
3128852,62.0
3129200,71.0
3129222,35.0
3129252,74.0
3129460,62.0
3129462,44.0
3129510,67.0
3129530,71.0
3129742,70.0
3129752,35.0
3129782,67.0
3130020,80.0
3130050,63.0
3130060,65.0
3130112,40.0
3130240,44.0
3130292,60.0
3130332,76.0
3130400,56.0
3130430,77.0
3130450,71.0
3130452,37.0
3130530,66.0
3130540,74.0
3130660,62.0
3130762,72.0
3130792,81.0
3131162,81.0
3131302,48.0
3131352,71.0
3131472,95.0
3131502,98.0
3131542,40.0
3131640,75.0
3131720,74.0
3131852,63.0
3131862,70.0
3131882,60.0
3131982,79.0
3132012,63.0
3132162,70.0
3132202,49.0
3132222,49.0
3132252,65.0
3132462,50.0
3133092,75.0
3133122,72.0
3133182,50.0
3133342,79.0
3133502,77.0
3133732,79.0
3133772,68.0
3133802,76.0
3134372,84.0
3134532,79.0
3134592,49.0
3134912,49.0
3135052,82.0
3135282,55.0
3136052,59.0
3136692,50.0
3136700,66.0
3136702,46.0
3136742,51.0
3136832,42.0
3136942,72.0
3136952,50.0
3137022,87.0
3137032,71.0
3137092,55.0
3137152,83.0
3137432,90.0
3137700,89.0
3137942,73.0
3138042,76.0
3138320,68.0
3138372,82.0
3138412,61.0
3138982,52.0
3139362,68.0
3139652,73.0
3139842,63.0
3139872,71.0
3139902,38.0
3139932,42.0
3140142,58.0
3140282,63.0
3140332,62.0
3140442,56.0
3140640,94.0
3140690,88.0
3141122,76.0
3141622,42.0
3141692,42.0
3141802,41.0
3141872,69.0
3141912,50.0
3142280,68.0
3142340,88.0
3142390,104.0
3142392,60.0
3142432,54.0
3142482,52.0
3142502,50.0
3142522,53.0
3142602,60.0
3142872,49.0
3143022,79.0
3143142,63.0
3143202,55.0
3143212,48.0
3143392,53.0
3143402,49.0
3143422,67.0
3143482,44.0
3144060,80.0
3144100,95.0
3144260,77.0
3144330,78.0
3144450,33.0
3144882,75.0
3145162,48.0
3145222,43.0
3145232,57.0
3145602,59.0
3145612,86.0
3145712,78.0
3146512,66.0
3146802,56.0
3146822,79.0
3146842,54.0
3146942,18.0
3147002,62.0
3147102,55.0
3147122,55.0
3147132,60.0
3147252,51.0
3147322,55.0
3147342,70.0
3147462,93.0
3147622,58.0
3147642,56.0
3147812,58.0
3147902,85.0
3148152,66.0
3148172,57.0
3148182,63.0
3148292,56.0
3148302,47.0
3148442,63.0
3148482,37.0
3148532,52.0
3148772,71.0
3148812,55.0
3149082,59.0
3149092,56.0
3149122,52.0
3149172,60.0
3149182,57.0
3149262,62.0
3149642,69.0
3150032,51.0
3150212,49.0
3150292,86.0
3150502,54.0
3150512,49.0
3150542,62.0
3150582,64.0
3150692,69.0
3150712,77.0
3150792,63.0
3150822,40.0
3151002,47.0
3151032,50.0
3151112,53.0
3151182,50.0
3151222,82.0
3151312,91.0
3151792,55.0
3152062,75.0
3152172,67.0
3152192,58.0
3152462,80.0
3152502,69.0
3152822,81.0
3152950,88.0
3152990,87.0
3153232,80.0
3153962,53.0
3154522,54.0
3155770,92.0
3155780,101.0
3157900,115.0
3157990,101.0
3158530,83.0
3159310,91.0
3159580,59.0
3159900,75.0
3160090,101.0
3160140,84.0
3160340,67.0
3160480,58.0
3160670,80.0
3160730,74.0
3160750,67.0
3160770,74.0
3162110,72.0
3162120,80.0
3162180,72.0
3168280,81.0
3168870,80.0
3168940,73.0
3168960,65.0
3170930,82.0
3170940,98.0
3170960,97.0
3172380,56.0
3173000,56.0
3173510,62.0
3173560,79.0
3174330,29.0
3174340,34.0
3174720,67.0
3175720,68.0
3175750,77.0
3176410,53.0
3176420,54.0
3176430,49.0
3181890,31.0
3183560,60.0
3183600,73.0
3183670,73.0
3183680,81.0
3183790,49.0
3185200,50.0
3195530,67.0
3196940,23.0
3202210,76.0
3202220,92.0
3207690,87.0
3207980,81.0
3208920,83.0
3211640,43.0
3213180,77.0
3213250,97.0
3217150,70.0
3217160,74.0
3222590,75.0
4100750,49.0
4100760,60.0
4100910,54.0
4101460,75.0
4102190,47.0
4102200,45.0
4102290,49.0
4103620,59.0
4105710,39.0
4108490,67.0
4110360,88.0
4111340,56.0
4111600,58.0
4111650,67.0
4111670,73.0
4113830,57.0
4114050,73.0
4114080,84.0
4116870,26.0
4121880,56.0
4121890,52.0
4121900,55.0
4121930,52.0
4122390,58.0
4122480,77.0
4122760,40.0
4123560,65.0
4124880,44.0
4124930,40.0
4124940,42.0
4124990,40.0
4125010,29.0
4125190,61.0
4125260,57.0
4125640,57.0
4125740,45.0
4125750,49.0
4127730,62.0
4127740,63.0
4128330,73.0
4128420,75.0
4130790,34.0
4130910,51.0
4132260,62.0
4136590,55.0
4136620,86.0
4137160,69.0
4137430,45.0
4137440,38.0
4139810,59.0
4139950,43.0
4140190,63.0
4140330,63.0
4140930,47.0
4142260,63.0
4142860,77.0
4142880,54.0
4145060,36.0
4145170,46.0
4151130,59.0
4151140,60.0
4151150,59.0
4151670,51.0
4151750,75.0
4152890,67.0
4152940,84.0
4154010,57.0
4154210,57.0
4154330,49.0
4154370,47.0
4154670,64.0
4154750,66.0
4154810,73.0
4154830,76.0
4154840,67.0
4154920,45.0
4155160,66.0
4155210,66.0
4155320,61.0
4155380,65.0
4156080,57.0
4157670,80.0
4157710,68.0
4157730,73.0
4158380,78.0
4161160,87.0
4164200,98.0
4167240,52.0
4167870,55.0
4169650,42.0
4169900,39.0
4169960,31.0
4169980,29.0
4170030,52.0
4170090,51.0
4170550,40.0
4170630,47.0
4170640,55.0
4171250,50.0
4172290,60.0
4172720,76.0
4172760,80.0
4172820,56.0
4172840,62.0
4178530,61.0
4178610,42.0
4194610,40.0
4194690,33.0
4194820,28.0
4194900,59.0
4195020,83.0
4198580,69.0
4198940,53.0
4199010,50.0
4199040,44.0
4199180,60.0
4199280,53.0
4215140,63.0
4218660,109.0
